hs2,etr_2024w,etr_actualw,imports_2024_B,imports_actual_B,gap_pp
76,0.19916345162380011,0.190152010113718,26.545276434,2.01111017,0.9011441510082124
97,0.15583950783172174,0.16478124097662947,8.806010001,0.636711179,-0.8941733144907732
08,0.1377303398460616,0.12888484290258584,24.022920777,2.113975757,0.884549694347575
57,0.3375594648856156,0.3290693729104961,3.384573242,0.245318293,0.8490091975119518
11,0.1486368487802292,0.1402532381961989,2.537833235,0.158137661,0.838361058403031
40,0.21681114245877672,0.20857017777824194,34.162038728,2.631347006,0.8240964680534785
98,0.28329902544492463,0.27527230526524255,34.520323928,3.344770617,0.802672017968209
89,0.18263162164870253,0.17517772923541577,3.483607962,0.150620675,0.7453892413286756
38,0.18780462288020922,0.18057014607736505,24.088031568,1.53677928,0.723447680284417
10,0.21571758402218083,0.20874097785598644,3.115799644,0.239146848,0.6976606166194388
32,0.22238716334241432,0.21548882258018257,5.120238722,0.338476802,0.6898340762231753
20,0.24760818648801283,0.253701065089503,14.326753981,1.254519048,-0.6092878601490187
90,0.18834234068675923,0.1824401757091068,122.640992249,10.237960942,0.5902164977652419
19,0.2346553045809362,0.22881954497874935,15.77380199,1.296279646,0.5835759602186852
87,0.2375616561262225,0.23195911651036952,388.997085346,26.978845499,0.56025396158529694
33,0.17702564338937005,0.17190237889540946,23.073106965,1.444364267,0.5123264493960583
21,0.18271953509368158,0.18778563886610614,12.290003017,0.766235768,-0.5066103772424557
27,0.10458159442566185,0.10049782875429156,139.849910392,11.26573082,0.4083765671370296
91,0.16244291134953737,0.15883644178202913,7.602006088,0.602484113,0.3606469567508236
49,0.20593096720676643,0.20239441604450745,5.285632505,0.405251221,0.3536551162258983
07,0.11410963546396775,0.1107763010626809,15.678482444,1.195764174,0.3333334401286858
06,0.13431390431504117,0.13181154048673435,3.630873179,0.248709558,0.25023638283068195
31,0.2102551678929807,0.21270171775089058,3.983858609,0.284230845,-0.24465498579098743
01,0.200165658954202,0.19809969532691282,4.763846138,0.288473144,0.2065963627289169
16,0.270403923452034,0.26901521330327977,6.827204204,0.57375267,0.13887101487542464
25,0.21001186940559613,0.20866689153686385,5.466167663,0.416705034,0.13449778687322778
30,0.1675201878075393,0.1687956876942494,217.069576304,15.589697699,-0.12754998867101075
75,0.1809571436536541,0.1821651497165254,3.607991838,0.271724784,-0.1208006062871303
04,0.20981822787207602,0.20917985598473454,4.286035976,0.301519053,0.06383718873414768
22,0.15338480751348488,0.15336757440439008,30.780795273,1.668377444,0.0017233109094794141
