product_group,partner_group,stat_num,cens_num,total_val,s2,s4,gap_pp
Chemicals & Plastics,Japan,1435870989.5752876,1238892849,14659697084,9.794683896589085,8.451012608931476,1.3436712876576085
Chemicals & Plastics,S. Korea,1260644977.6041796,1087308482,13958101604,9.03163634546774,7.789802029298941,1.2418343161687995
Chemicals & Plastics,UK,463290285.5799335,410029804,7422612759,6.241606569306595,5.524062985810951,0.7175435834956438
Chemicals & Plastics,ROW,9384654026.412195,7944531418,79385064500,11.821687222301362,10.007589548535291,1.8140976737660708
Electronics & Machinery,China,54470795038.824554,42244182311,146536443632,37.17218303428885,28.828447902754274,8.343735131534576
Electronics & Machinery,Canada,2224631940.6447587,1576781745,50898267560,4.37074196685047,3.097908476238911,1.2728334906115588
Electronics & Machinery,Mexico,7399701827.041305,7811456852,306753305890,2.4122647368288823,2.546494757191352,-0.13423002036246956
Electronics & Machinery,EU,13498873256.62197,13830174390,159521871788,8.462083039347473,8.669766869573788,-0.20768383022631554
Electronics & Machinery,Japan,6705689044.588826,6596774381,65382641103,10.256069396195047,10.089488998475645,0.16658039771940203
Electronics & Machinery,S. Korea,3831664514.9535623,3085315955,61025585295,6.278783720682317,5.055774459327945,1.2230092613543722
Electronics & Machinery,UK,1704476568.324454,1298837538,20441409070,8.338351639496121,6.353953064352035,1.9843985751440858
Electronics & Machinery,ROW,26904757936.049328,23390185030,655440517443,4.104835941636624,3.5686205548063503,0.5362153868302739
Energy & Minerals,China,130664341.93902734,108576880,514353311,25.403616375092675,21.10939653307685,4.294219842015824
Energy & Minerals,Canada,1740837078.2383208,150107409,144845927262,1.2018543504433248,0.10363246784873899,1.0982218825945858
Energy & Minerals,Mexico,577913070.0616926,8810526,15101941152,3.8267469343512683,0.0583403544704794,3.768406579880789
Energy & Minerals,EU,202668122.68487608,77138195,11236060159,1.8037294195380436,0.6865235136553882,1.1172059058826553
Energy & Minerals,Japan,15944681.062511085,5677139,637801248,2.4999451024139554,0.8901109895601835,1.6098341128537719
Energy & Minerals,S. Korea,96312684.54872082,14015601,6898169121,1.396206484058465,0.20317856454595326,1.1930279195125117
Energy & Minerals,UK,45167121.53112592,9166106,3979676392,1.1349445804669316,0.23032289807346729,0.9046216823934643
Energy & Minerals,ROW,1522796351.7650554,234106746,88001185494,1.7304270882451702,0.2660268093956093,1.464400278849561
Food & Agriculture,China,2814820319.2657075,2255627678,6368670416,44.1979272815569,35.41756019173469,8.780367089822214
Food & Agriculture,Canada,588800069.542992,278213550,53505802170,1.1004415328121637,0.5199689355484342,0.5804725972637296
Food & Agriculture,Mexico,199203560.76709932,220179809,56250441169,0.3541368860887828,0.3914277015863523,-0.03729081549756952
Food & Agriculture,EU,4144441597.043401,3671559774,36902878690,11.230672901858108,9.949250314162958,1.2814225876951504
Food & Agriculture,Japan,221341004.3488252,208679904,2177677054,10.164087642943278,9.582683695761622,0.5814039471816557
