year_month,partner_group,stat_num,cens_num,total_val,s2,s4,gap_pp,gap_usd,gap_contrib_pp
2025-10,EU,4060305728.894048,3882702930,44957181285,9.031495331422775,8.636446545405343,0.39504878601743165,177602798.8940482,0.06451890261716516
2025-10,Japan,1656313182.3542747,1737540671,11881427967,13.940354534443097,14.624005429531886,-0.683650895088789,-81227488.64572525,-0.02950802837795852
2025-10,S. Korea,1362560044.4100218,1289966425,8798662615,15.485990360479592,14.660937479303495,0.8250528811760969,72593619.41002178,0.026371547579815212
2025-10,UK,429152844.8703619,293086867,5133476783,8.359886739753897,5.709324876477191,2.650561863276706,136065977.87036192,0.04942955646191352
2025-10,ROW,11763917437.720259,10565827365,101466951151,11.593841447165943,10.413072675531819,1.1807687716341242,1198090072.7202587,0.43523782963884994
2025-11,China,6822526275.468951,6480179814,20032588997,34.05713698060029,32.34818931776839,1.7089476628319034,342346461.4689512,0.13279086649943558
2025-11,Canada,1511539880.644599,1039637002,28299068545,5.34130612193476,3.673749898682398,1.6675562232523622,471902878.64459896,0.1830437852049409
2025-11,Mexico,2595005579.001235,1861344982,44575307846,5.821621216765416,4.175731076116459,1.645890140648957,733660597.001235,0.28457553197500457
2025-11,EU,4160846502.5490003,3832857096,46500052528,8.94804688670738,8.242694121027167,0.7053527656802121,327989406.54900026,0.12722198824954842
2025-11,Japan,1658983479.8642416,1640931107,11504972533,14.419708305306578,14.262798996636247,0.15690930867033082,18052372.8642416,0.007002234592195283
2025-11,S. Korea,1450738137.823716,1189725735,8495508740,17.076530461243642,14.004172927258974,3.0723575339846683,261012402.82371593,0.10124265046976226
2025-11,UK,451605339.1471118,326400791,4918171318,9.182383246681196,6.6366291431412066,2.5457541035399895,125204548.14711177,0.04856489641162292
2025-11,ROW,10477983044.872444,9385935250,93483070782,11.208428389464032,10.040251321961543,1.168177067502489,1092047794.8724442,0.4235883505781807
2025-12,China,6640934233.335108,6152451340,19805064436,33.531495213233285,31.065040762081974,2.4664544511513107,488482893.3351078,0.1755975425088381
2025-12,Canada,1690778104.9358466,990704154,31803019869,5.316407410052065,3.115126041743253,2.201281368308812,700073950.9358466,0.25165930483148885
2025-12,Mexico,2618435600.361362,1845437545,42133380678,6.214634473251707,4.379989251523787,1.8346452217279205,772998055.361362,0.2778737203238114
2025-12,EU,4397895488.862593,4121816422,47969594671,9.168089743150027,8.592560454741225,0.5755292884088021,276079066.8625927,0.09924360983905975
2025-12,Japan,1643315019.764587,1597741365,11965705541,13.73354052658103,13.352671595714977,0.380868930866054,45573654.764586926,0.01638260395398888
2025-12,S. Korea,1219106031.6891077,1025154554,11541823842,10.562507697031855,8.882084565088617,1.680423131943238,193951477.68910766,0.06972076875740472
2025-12,UK,520637272.7923046,410889312,5696623182,9.139401644774344,7.21285749245824,1.9265441523161035,109747960.79230458,0.039451682901133725
2025-12,ROW,11014376170.479067,10049163617,107268005129,10.268090804180826,9.36827678012183,0.8998140240589958,965212553.4790668,0.34697008780066374
2026-01,China,7014575429.164849,6511285226,20472481177,34.26343572388011,31.805061485733173,2.4583742381469342,503290203.1648493,0.19401254619370517
2026-01,Canada,1561929204.4766834,877318989,28262219795,5.526562371272095,3.104211188518216,2.422351182753879,684610215.4766834,0.2639093116051521
2026-01,Mexico,2288296396.774267,1702024302,42213781379,5.420733045044434,4.031916228302405,1.388816816742029,586272094.7742672,0.2260011046394573
2026-01,EU,3760823183.1856484,3500973709,38666058530,9.72641982701113,9.054384755259408,0.6720350717517221,259849474.18564844,0.10016896374464165
2026-01,Japan,1579968977.707328,1512414899,11079699835,14.260034127606202,13.65032375897393,0.6097103686322729,67554078.70732808,0.026041315196206578
2026-01,S. Korea,1252657035.8054454,1188726943,11655011929,10.747797114549359,10.199276931173358,0.5485201833760005,63930092.80544543,0.024644310589772685
2026-01,UK,405497189.82554984,279440775,4864238755,8.336292896986917,5.744799732800122,2.5914931641867947,126056414.82554984,0.048593288425970584
