partner_group,product_group,n_flows,n_suspect,n_suspect_strict,val_total,val_suspect,val_suspect_strict,share_suspect_value,share_suspect_strict_value,mean_dln_value,mean_dln_qty,mean_dln_uv,mean_world_dln_uv
Mexico,Apparel & Textiles,87,1,0,157214378.33333334,106218.66666666667,0,6.75629467181792e-4,0,0.1403388775560671,0.24639335488499356,-0.10605447732892591,-0.16017221297639503
Mexico,Autos & Auto Parts,114,5,0,9301632502.166666,227564416,0,0.02446499750952239,0,0.03951104533792584,0.22312654167909682,-0.18361549634117075,-0.03443290155527821
Mexico,Chemicals & Plastics,63,3,0,210428359.5,7395040.333333334,0,0.03514279325707206,0,0.17736510537527211,-0.20406974505426312,0.3814348504295345,-0.06281979980491761
Mexico,Electronics & Machinery,517,22,0,5139541782.833333,81282136.33333333,0,0.015815055070633945,0,0.1561723399443427,0.10700279230254313,0.049169547641799954,0.17184671858914552
Mexico,Energy & Minerals,9,0,0,682886586.1666666,0,0,0,0,-0.16227874025680408,-0.06867331674926137,-0.09360542350754013,-0.08733478721869678
Mexico,Food & Agriculture,19,0,0,99008378.16666667,0,0,0,0,1.305241859076997,1.0782627041404853,0.22697915493650972,0.5529917027866068
Mexico,Other Manufactured,274,16,0,2798098889.8333335,65842188,0,0.023531043966756243,0,0.1557747657183724,0.15308925529850403,0.002685510419868792,0.051598743128637665
Mexico,Pharmaceuticals,15,1,0,74320408.66666666,1819563.3333333333,0,0.024482687406822926,0,0.12245675053911484,0.11338620710418931,0.009070543434926321,0.2705305984698711
Mexico,Steel & Aluminum,273,22,0,621437988.3333334,50925618,0,0.08194802853391703,0,-0.05652416707007855,0.04068496219475677,-0.09720912926483594,-0.25431832859584147
ROW,Apparel & Textiles,4825,187,42,7502644660.166667,169135844.5,55797271.833333336,0.02254349661499799,0.007437013794558921,0.2524120400676666,0.25247780857923496,-6.576851156827896e-5,-0.10278818303490264
ROW,Autos & Auto Parts,550,36,7,1117059919.3333333,99412127.83333333,3109483.8333333335,0.08899444525112223,0.002783632085903761,0.053597288095851105,0.12896197959528913,-0.07536469149943809,0.0582821520867544
ROW,Chemicals & Plastics,2615,107,38,3856443479.6666665,286123278,76818149.5,0.07419356189416555,0.019919428329503174,0.09019527957026889,0.11613628434745124,-0.025941004777182166,0.03601993761489167
