hs2,stat_num,cens_num,total_val,s2,s4,gap_pp,gap_usd
93,531889815.55730855,381053523,4655402739,11.425215934627403,8.18518921698817,3.240026717639232,150836292.55730855
67,679965235.2346963,530445430,2487834187,27.331613931017028,21.32157491732386,6.0100390136931665,149519805.23469627
31,204811871.92258322,56172984,11344137581,1.805442418695779,0.49517192116995,1.310270497525829,148638887.92258322
89,280000791.5054013,135344715,3137091287,8.9254907138251,4.314337793129066,4.611152920696035,144656076.5054013
97,198667131.1608862,57605520,11953550475,1.6619926571304848,0.4819113795560394,1.1800812775744454,141061611.1608862
18,858621193.6690252,724422657,16539983679,5.191185253460522,4.379826915547466,0.811358337913056,134198536.66902518
65,884749713.3775244,757264353,3656073938,24.19944805223259,20.712501055551684,3.4869469966809064,127485360.37752438
56,634434122.5527112,509634041,3465947982,18.304779120966945,14.704030286857318,3.600748834109627,124800081.55271125
98,0,121340508,149110122258,0,0.08137643921319358,-0.08137643921319358,-121340508
34,768144805.7985301,649636970,7567240266,10.150923966955883,8.584859832174912,1.5660641347809712,118507835.7985301
25,350169888.7673965,244997807,6360385829,5.5054818714111144,3.8519330994503416,1.6535487719607729,105172081.76739651
57,763236481.7970192,664829076,3885542927,19.642981589353038,17.11032636855488,2.5326552207981585,98407405.79701924
23,523331394.8751151,428248057,6422165166,8.148831139468628,6.66828158309001,1.4805495563786177,95083337.8751151
81,391516891.1765199,300797201,4768851578,8.209877887219074,6.307539584323796,1.902338302895278,90719690.17651987
36,246238939.2865961,166168301,1389743527,17.718300859306403,11.956760205870705,5.7615406534356985,80070638.28659609
13,325875858.1176449,247265820,2012768505,16.190429118307616,12.284861343257157,3.905567775050459,78610038.1176449
35,595074522.3573006,517404396,4653401547,12.787946974851957,11.118842652501487,1.6691043223504707,77670126.35730064
66,204580363.0093385,132611093,662098024,30.898802834871248,20.028921427501498,10.86988140736975,71969270.0093385
32,711235468.0115857,642218284,5940524454,11.972603993451816,10.810801116517045,1.1618028769347717,69017184.01158571
59,457535306.43777674,390736169,3228975556,14.169673895102623,12.100933011832314,2.0687408832703085,66799137.437776744
92,325309947.4020691,261609240,1714571116,18.97325484876937,15.257998782244735,3.715256066524633,63700707.40206909
12,313222192.61754924,251243215,3195265555,9.802696746986003,7.862983863949924,1.939712883036079,61978977.61754924
54,397170360.03096694,345791774,2041720012,19.45273385658361,16.936297433910834,2.5164364226727756,51378586.03096694
91,1117302023.521943,1070010436,8411574651,13.282911581710971,12.720691195111645,0.5622203865993267,47291587.52194309
75,213693846.66026342,170110399,4248723138,5.029601593688579,4.00380051782042,1.0258010758681584,43583447.66026342
55,308816319.8583443,270623285,1784216409,17.30823224697427,15.167626731539604,2.1406055154346664,38193034.85834432
26,100212929.85774574,62348584,4213687329,2.3782716189700874,1.4796680230850607,0.8986035958850267,37864345.85774574
17,588854408.3858134,626671905,7681562057,7.665815937127088,8.158131124240946,-0.49231518711385736,-37817496.614186645
05,169514731.52840662,133578226,1341632385,12.634961217666687,9.956395469687473,2.6785657479792135,35936505.52840662
04,544235091.727659,579314904,4802338134,11.332710786742343,12.063184387174184,-0.7304736004318411,-35079812.27234101
58,221975468.9853529,191236901,895427585,24.789885045294078,21.357048208426594,3.4328368368674838,30738567.985352904
01,81455428.31101248,51802567,4415628161,1.8447076008448458,1.1731641594628375,0.6715434413820083,29652861.311012477
11,145909801.52800032,117202505,2723119431,5.358185904994203,4.303979607569405,1.0542062974247983,28707296.528000325
47,106501950.56235889,77851196,4715188242,2.258699867244004,1.6510729159559183,0.6076269512880859,28650754.562358886
60,212482411.06760442,183950520,886217787,23.976319837462757,20.756807491159055,3.219512346303702,28531891.067604423
74,1468483311.659084,1441209512,32955983015,4.455892913255539,4.373134648552373,0.08275826470316616,27273799.65908408
37,193491000.0326179,169726499,1847463739,10.473331408244647,9.187000286775318,1.2863311214693294,23764501.032617897
46,165822340.18143335,144546377,707703769,23.4310381610294,20.424700747919854,3.006337413109545,21275963.18143335
52,163322989.890713,144952514,888018960,18.391835900746194,16.32313278536305,2.068703115383144,18370475.890713006
78,44199046.65003274,29379056,1514501286,2.9183895093789136,1.9398501851123553,0.9785393242665583,14819990.650032736
86,352704082.4163442,345276167,2069154816,17.045804387811657,16.686821320961997,0.3589830668496603,7427915.416344225
14,11933775.183134262,18894552,245132527,4.868295256114363,7.707892637193757,-2.8395973810793933,-6960776.8168657385
79,86890542.16079965,80137874,3110211460,2.7937181531959134,2.576605321877375,0.21711283131853865,6752668.160799652
45,26207009.1563421,19484951,321320027,8.156045983508553,6.0640325416131,2.0920134418954532,6722058.1563421
06,315013601.5490853,309246230,4465732533,7.054018556222505,6.924871288524166,0.12914726769833873,5767371.549085319
53,47342845.474684045,41767475,303272044,15.610685657094079,13.772279979753096,1.8384056773409831,5575370.474684045
41,45676599.583359875,40915695,457154128,9.991509818185405,8.950087616839806,1.0414222013455987,4760904.583359875
51,39533168.94732361,34906814,307387652,12.861013996529572,11.355958436482673,1.5050555600468982,4626354.947323613
80,12073039.920188613,8234545,1420984818,0.8496248353434985,0.5794956353995332,0.27012919994396534,3838494.9201886132
50,14462771.287509436,11841280,70692422,20.458729349391135,16.750423404647247,3.7083059447438877,2621491.287509436
43,28887474.603754748,26677115,201213670,14.356616329176216,13.258102692525812,1.098513636650404,2210359.6037547477
99,0,0,38686106146,0,0,0,0
