hs10,cty_code,partner_group,product_group,hs2,event_ym,event_drate,V_pre,V_post,Q_pre,Q_post,uv_pre,uv_post,dln_value,dln_qty,dln_uv,world_dln_uv,dln_uv_excess,n_ctrl,bucket,suspect,suspect_strict,lumpy,classify_ok
2202100055,4120,UK,Food & Agriculture,22,783,0.08666666666666667,3563190,5675375,2042951,3762046,1.7441387483106545,1.5085873484800558,0.46548042942855083,0.6105676271315286,-0.14508719770297962,0.01732864766930163,-0.16241584537228126,2,B4_real_expansion,FALSE,FALSE,FALSE,TRUE
4602191800,5520,ROW,Other Manufactured,46,783,0.08666666666666668,5612802.333333333,5675188.333333333,1243609.6666666667,1390119.6666666667,4.513315137198729,4.082517835994454,0.01105362983521907,0.11137166226005135,-0.1003180324248325,-0.6493323391733332,0.5490143067485007,1,B6_mixed,FALSE,FALSE,FALSE,TRUE
9023000000,4120,UK,Other Manufactured,90,783,0.08666666666666667,3901397,5674456.666666667,52700.333333333336,50747.333333333336,74.02983535841012,111.81782950828287,0.3746401231037506,-0.03776270925264491,0.4124028323563955,NA,NA,NA,B5_unit_value_spike,FALSE,FALSE,FALSE,TRUE
8703320110,4280,EU,Autos & Auto Parts,87,783,0.2217833333333333,34817439.666666664,5672320.333333333,1281,90.66666666666667,27179.890450169136,62562.35661764705,-1.8145201372057933,-2.648206524268846,0.8336863870630538,NA,NA,NA,B1_real_contraction,FALSE,FALSE,FALSE,TRUE
9022906000,5800,S. Korea,Other Manufactured,90,783,0.08666666666666667,4073882,5670281.666666667,52694,68846,77.31206588985464,82.3618171958671,0.33064243994444453,0.26737052910067405,0.06327191084377048,NA,NA,NA,B4_real_expansion,FALSE,FALSE,FALSE,TRUE
8708506100,4280,EU,Autos & Auto Parts,87,784,0.14207930107526878,12012945.333333334,5669013.333333333,9997.333333333334,4826.666666666667,1201.6149639903974,1174.5193370165744,-0.7509697587910527,-0.7281622924760409,-0.022807466315014402,2.4618598733439914,-2.4846673396590058,1,B1_real_contraction,FALSE,FALSE,FALSE,TRUE
7307193040,5700,China,Steel & Aluminum,73,783,0.9580107526881719,4222880,5668557.666666667,1822224.3333333333,2538520.3333333335,2.3174314615123315,2.2330164514472406,0.2944173458731054,0.331523449323031,-0.03710610344992704,NA,NA,NA,B4_real_expansion,FALSE,FALSE,FALSE,TRUE
3507907000,4050,EU,Chemicals & Plastics,35,783,0.08666666666666667,5862965.666666667,5667962,361132.6666666667,380146.6666666667,16.234935822292453,14.909934762021676,-0.03382594453115573,0.05131175465367477,-0.0851376991848305,0.7293777519511058,-0.8145154511359363,1,B6_mixed,FALSE,FALSE,FALSE,TRUE
9303200040,4759,EU,Other Manufactured,93,783,0.08666666666666667,3303758,5666304,1907,3574.3333333333335,1732.4373361300472,1585.275762379931,0.5394764449158593,0.6282473519516172,-0.08877090703575874,NA,NA,NA,B4_real_expansion,FALSE,FALSE,FALSE,TRUE
4201003000,5550,ROW,Other Manufactured,42,783,0.08666666666666668,6940529.666666667,5664610.333333333,2422628.6666666665,2323729.6666666665,2.8648755635407603,2.4377234643903645,-0.20313998527433696,-0.04167966675632684,-0.16146031851800968,0.24704879822697778,-0.40850911674498747,1,B2_misreport_suspect,TRUE,FALSE,FALSE,TRUE
