ym,partner_group,nbothpos,valbothpos,nbothzero,valbothzero,nimpfriction,valimpfriction,ntrackermiss,valtrackermiss,n_total,val_total,pct_n_bothzero,pct_val_bothzero,pct_n_bothpos,pct_val_bothpos,pct_n_trackermiss,pct_val_trackermiss,pct_n_impfriction,pct_val_impfriction
2025m3,Japan,3467,7774000300,2232,5714495060,197,241912048,229,147050670,6125,13877458078,36.44081632653061,41.17825489279781,56.60408163265306,56.01890675010692,3.738775510204082,1.059636924669368,3.216326530612245,1.743201432425902
2025m3,Mexico,3217,40114812092,1460,1879973796,1478,3584186358,569,1829522397,6724,47408494643,21.71326591314694,3.965478782139698,47.84354550862582,84.6152412011316,8.4622248661511,3.859060302962255,21.98096371207615,7.560219713766456
2025m3,ROW,57450,36774514258,38423,126087087856,8671,4771886265,3118,7714708838,107662,175348197217,35.68854377589121,71.90669186063116,53.36144600694767,20.9722796365509,2.896100759785254,4.39965107166329,8.053909457375861,2.721377431154659
2025m3,S. Korea,1858,4598182242,1730,3657075062,1052,2839865169,82,1253201294,4722,12348323767,36.63701821262177,29.61596351865399,39.34773401101228,37.23729899509364,1.736552308343922,10.14875636277929,22.27869546802203,22.99798112347308
2025m3,UK,3222,2354388285,2068,4446267201,118,46911532,181,265043442,5589,7112610460,37.00125246018966,62.51245201751144,57.64895330112721,33.10160591867982,3.238504204687779,3.72638770941492,2.111290033995348,.6595543543938156
2025m4,Canada,3626,21101796272,1813,3665986641,1843,4285430236,265,467118693,7547,29520331842,24.02279051278654,12.41851433317638,48.04558102557308,71.48224615137102,3.51132900490261,1.582362608591709,24.42029945673778,14.51687690686089
2025m4,China,10160,23599942990,46,935194900,313,31757470,1,58414414,10520,24625309774,.4372623574144487,3.797698013071907,96.57794676806084,95.83612635369725,.0095057034220532,.2372129103597119,2.975285171102662,.1289627228711263
2025m4,EU,13916,10843208159,888,2600470438,1682,447148417,1272,2761078176,17758,16651905190,5.000563126478207,15.61665412052469,78.36468070728687,65.11692226972137,7.162968802793107,16.58115479577745,9.471787363441829,2.685268813976474
2025m4,Japan,4822,10452146123,251,707026504,567,282551278,455,2248847458,6095,13690571363,4.118129614438064,5.164331606428076,79.11402789171453,76.34558007745291,7.465135356849877,16.4262498501539,9.302707136997538,2.063838465965126
2025m4,Mexico,3207,34761919233,1750,2993487090,1463,3542669724,201,458654519,6621,41756730566,26.43105271107083,7.168873255698369,48.43679202537381,83.24866138180019,3.035795197100136,1.09839662440779,22.09636006645522,8.484068738093645
2025m4,ROW,77880,59891130369,7073,22888258505,15688,7435677256,7161,41812808681,107802,132027874811,6.561102762471939,17.33592889968494,72.24355763343908,45.36248913703648,6.642733901040796,31.66968243702756,14.55260570304818,5.631899526251021
2025m4,S. Korea,3118,6332206019,209,560131000,1079,496043792,342,2180223411,4748,9568604222,4.401853411962932,5.853842284668382,65.66975568660489,66.17690388365193,7.203032855939343,22.78517702704498,22.72535804549284,5.184076804634715
2025m4,UK,4376,2724968595,261,840734543,466,72985908,481,1266765748,5584,4905454794,4.674068767908309,17.13876854044861,78.36676217765043,55.54976468915759,8.613896848137536,25.82361475534168,8.345272206303726,1.487852015052124
2025m5,Canada,3608,19775994555,1935,4006077014,1854,5969266036,220,459034178,7617,30210371783,25.40370224497834,13.26060150062206,47.36773007745831,65.46094399979665,2.888276224235264,1.519458884178009,24.34029145332808,19.75899561540328
2025m5,China,10091,17971540205,44,1202550511,146,132759117,1,57526976,10282,19364376809,.4279323088893211,6.210117283201644,98.14238475004863,92.80722215985465,.0097257342929391,.2970763095937233,1.419957206769111,.6855842473499969
2025m5,EU,14848,11511769516,663,1925790402,415,176804480,1470,3536480548,17396,17150844946,3.811220970338009,11.22854534609469,85.35295470223041,67.12071359892289,8.450218441020924,20.6198619317866,2.385605886410669,1.030879123195823
2025m5,Japan,5068,9472080192,184,1092178168,140,36981475,491,1362096484,5883,11963336319,3.127655957844637,9.129377782896718,86.14652388237293,79.17590828702673,8.346081930987591,11.38559050485555,2.379738228794833,.3091234252209942
2025m5,Mexico,3125,38015764580,1829,3237923231,1470,4483858641,176,632862998,6600,46370409450,27.71212121212121,6.982735907241381,47.34848484848485,81.98280979380051,2.666666666666667,1.364799244833927,22.27272727272727,9.669655054124176
2025m5,ROW,86029,60523156562,5497,30125804985,6201,2181075223,8539,39431102894,106266,132261139664,5.172868085747088,22.77751806882389,80.95627952496565,45.76034707984126,8.035495831216005,29.81306753757899,5.835356558071255,1.649067313755852
2025m5,S. Korea,3996,8048964896,158,332199829,220,120832865,403,2828151535,4777,11330149125,3.307515176889261,2.931998734835716,83.65082687879422,71.04023792802462,8.436257065103622,24.96129136340913,4.605400879212896,1.066471973730531
2025m5,UK,4782,2433897283,216,1097798179,123,8381691,498,1213323642,5619,4753400795,3.844100373731981,23.09500558326052,85.10411105178858,51.20328345886936,8.862786972770955,25.52538055020038,2.189001601708489,.1763304076697366
2025m6,Canada,3512,19703383614,1984,4041532608,1974,5540073844,195,451639736,7665,29736629802,25.88388780169602,13.59109164323718,45.81865622961514,66.25963918976052,2.544031311154598,1.518799336062031,25.75342465753425,18.63046983094026
2025m6,China,10011,16306019387,50,1246031553,166,15928720,0,0,10227,17567979660,.4889019262735895,7.092628618173161,97.88794367849809,92.81670233331771,0,0,1.623154395228317,.0906690485091329
2025m6,EU,14778,10258398756,666,2090417258,278,135059344,1457,2103133930,17179,14587009288,3.876826357762384,14.33067750028569,86.02363350602479,70.32557910578058,8.481285290179871,14.41785556227857,1.618254846032947,.9258878316551601
2025m6,Japan,5171,9324419919,214,900144398,101,27744052,484,1247517172,5970,11499825541,3.584589614740368,7.82746133661542,86.61641541038526,81.08314239860346,8.107202680067003,10.8481399787524,1.69179229480737,.2412562860287308
2025m6,Mexico,3052,37173607970,1869,3085802031,1487,4293439068,130,315878603,6538,44868727672,28.58672376873661,6.877400343414846,46.68094218415418,82.84970378867666,1.988375650045886,.7040061516991081,22.74395839706332,9.568889716209378
2025m6,ROW,87618,61243854982,5308,20547618395,4684,1698790985,8720,40406998344,106330,123897262706,4.99200601899746,16.58440061243172,82.40195617417474,49.43116066036714,8.200884040252046,32.61330998077264,4.405153766575755,1.371128746428497
2025m6,S. Korea,3914,7272295241,157,1160977219,149,101023356,379,2468515878,4599,11002811694,3.413785605566427,10.55164126486958,85.10545770819743,66.09488050191473,8.240921939552075,22.43531877716419,3.239834746684061,.9181594560514887
2025m6,UK,4781,2627026576,218,1428073485,94,77845836,494,1027007703,5587,5159953600,3.901915160193306,27.67609160283922,85.573653123322,50.91182556370274,8.841954537318776,19.9034290347107,1.682477179165921,1.508653798747338
2025m7,Canada,3667,13839114993,2248,4300872198,1813,13701710542,28,260843625,7756,32102541358,28.98401237751418,13.39729509273949,47.279525528623,43.10909481797544,.3610108303249098,.8125326343828457,23.3754512635379,42.68107745490222
2025m7,China,10700,23634950203,46,1432301282,176,10534843,1,40026146,10923,25117812474,.4211297262656779,5.702332890185428,97.95843632701639,94.09637175795088,.0091549940492539,.1593536301834881,1.611278952668681,.0419417216802014
2025m7,EU,15329,10633783500,686,2338312688,485,178063944,1501,2800065647,18001,15950225779,3.810899394478084,14.66006011700858,85.15638020109994,66.66854530674038,8.338425643019832,17.55502201534071,2.694294761402144,1.116372560910318
2025m7,Japan,5219,9820350955,215,970737863,199,108338082,507,1359789051,6140,12259215951,3.501628664495114,7.918433502436309,85,80.10586479797627,8.257328990228013,11.09197404169294,3.241042345276873,.8837276578944897
2025m7,Mexico,3135,38217627892,2095,2869974550,1339,3762985717,28,265100304,6597,45115688463,31.75685917841443,6.361367071575791,47.52160072760346,84.71028414726023,.424435349401243,.587601149470239,20.29710474458087,8.340747631693743
2025m7,ROW,90043,63889469398,5496,30258824765,5586,3123243964,8699,43973151164,109824,141244689291,5.004370629370629,21.42298228477753,81.98845425407926,45.23318343415477,7.920855186480187,31.13260497419774,5.08631993006993,2.211229306869954
2025m7,S. Korea,3964,7743137364,183,797168668,213,146517247,385,2045242901,4745,10732066180,3.856691253951528,7.427914202444845,83.54056902002107,72.14954915606009,8.113804004214963,19.05730794701454,4.488935721812434,1.365228694480525
2025m7,UK,4737,2818838474,232,1757092491,214,56875820,503,998471127,5686,5631277912,4.08019697502638,31.20237570331443,83.30988392543088,50.05681690816895,8.846289131199438,17.7308089318821,3.7636299683433,1.009998456634509
2025m8,Canada,3547,19602738949,2089,3840758307,1953,5615904833,29,312844970,7618,29372247059,27.42189551063271,13.07614735530814,46.56077710685219,66.73898292365578,.380677343134681,1.065103971689972,25.63665003938042,19.1197657493461
2025m8,China,10491,21726783193,46,1391350810,176,13276074,1,111905045,10714,23243315122,.4293447825275341,5.986025671024329,97.91861116296434,93.4754060638941,.0093335822288594,.4814504489253381,1.642710472279261,.0571178161562422
2025m8,EU,14376,9962444167,641,1738863437,1155,422869157,1212,1963440236,17384,14087616997,3.687298665439485,12.34320493927608,82.69673262770364,70.71773862904941,6.971928209848135,13.93734821452145,6.644040497008744,3.001708217153059
2025m8,Japan,4968,8983988023,196,1022265333,275,149944178,429,1172559033,5868,11328756567,3.340149965916837,9.023632266737893,84.66257668711657,79.30250747173638,7.310838445807772,10.35028889591992,4.686434901158828,1.323571365605812
2025m8,Mexico,3216,39082899571,1871,2531907518,1342,3089054961,29,259133119,6458,44962995169,28.97181790027872,5.631091764424178,49.79869928770518,86.92236676871993,.449055435119232,.5763253049001967,20.78042737689687,6.870216161955703
2025m8,ROW,86812,55016449174,5238,21209535769,7156,6369155256,7248,37678765534,106454,120273905733,4.920435117515547,17.63436186738938,81.54883799575403,45.74263123718026,6.808574595599977,31.32746484315919,6.722152291130441,5.29554205227117
2025m8,S. Korea,3752,6912180552,183,903289577,290,488352501,309,1667014036,4534,9970836666,4.036171151301279,9.059315755117796,82.7525363917071,69.32397735056831,6.815174239082487,16.71889824135246,6.396118217909132,4.897808652961441
