hs2,n_flows,n_suspect,n_suspect_strict,val_total,val_suspect,val_suspect_strict,share_suspect_value,share_suspect_strict_value,mean_dln_value,mean_dln_qty,mean_dln_uv,mean_world_dln_uv
82,149,12,0,232178007.33333334,24934628.666666668,0,0.1073944468429713,0,-0.11441770132314066,-0.008026676416910126,-0.10639102490623051,-0.18350116603848032
49,31,0,0,179468716.66666666,0,0,0,0,0.30613509352559454,0.36979740019565305,-0.06366230667005744,-0.01575056684803465
42,80,12,0,168628643,42736342.33333333,0,0.2534346572031261,0,-0.2535353024374218,-0.13272903024322696,-0.12080627219419508,-0.03244530679006695
70,124,6,1,150925123.83333334,29817879.666666668,20786193,0.1975673692313452,0.13772520089467807,-0.24189477383682947,-0.14262743696008529,-0.09926733687674469,0.06836580502358668
69,54,1,1,148901742,500820.6666666667,500820.6666666667,0.0033634305411058703,0.0033634305411058703,-0.1306308307817737,-0.057232741585689736,-0.07339808919608437,-0.013306707227962442
40,83,10,1,126165845.5,22148784.333333332,461535.3333333333,0.17555293388283386,0.0036581638358959305,-0.25820890039085503,-0.2323909350760462,-0.025817965314808768,0.030740711042937123
48,74,4,1,125617808.5,8640853,1790988,0.06878684720884937,0.014257437073502202,-0.24787960095047376,-0.17804413788463402,-0.06983546306584015,0.03975994964928189
76,63,3,0,123963204.33333333,804873.6666666667,0,0.006492843348114701,0,-0.1865004581476143,-0.17970915057646894,-0.006791307571145551,0.23256614693768118
67,10,1,0,121815541.66666666,14867920.666666666,0,0.12205274025994904,0,-0.18117597856790538,0.08145889237477799,-0.26263487094268406,-0.3179612260237765
44,91,5,0,107800513.16666667,16241627.333333334,0,0.15066372929248223,0,-0.29985577731176843,-0.18858596363600472,-0.11126981367576391,8.32760023456401e-4
33,32,5,3,87101796.33333333,11526920.666666666,7986791,0.1323384953228041,0.09169490568753637,-0.0037831645880675177,0.07031300569569732,-0.0740961702837647,0.06876962386190597
71,41,1,0,87048241.66666667,2888392,0,0.03318150883576147,0,-0.3317014841784322,-0.22985164413950307,-0.10184984003892861,-0.03285217271656861
38,59,11,5,77215671.83333333,10725270.5,8155725.166666666,0.13890017719654152,0.10562266665594057,-0.37872541114270886,-0.12506297336453195,-0.2536624377781771,-0.3913748851873402
28,101,8,2,76918561.5,3683439.3333333335,1103986,0.047887522354839326,0.01435266050834817,-0.14597250465326758,-0.12830380675636283,-0.01766869789690498,-0.0393871196821714
03,45,3,0,73889473.16666667,10853072.666666668,0,0.14688252874920688,0,-0.47723783025563304,-0.27840526422608425,-0.19883256602954788,0.33025033145836613
65,38,4,1,71882306.66666667,5321839.333333333,315502.3333333333,0.07403545573477237,0.0043891514889245805,-0.06909244355099652,0.06009918739436022,-0.1291916309453564,-0.5165612453864246
20,48,3,1,54010333.666666664,4298309,3881123.3333333335,0.07958308546152844,0.07185890309966055,0.052840204804601006,0.08296442739681122,-0.030124222592210044,-0.05164638381482778
68,53,1,0,49888106.166666664,1267273.3333333333,0,0.025402313912250233,0,-0.353464731246144,-0.20896243276668436,-0.14450229847945942,-0.04839509224920625
34,27,1,1,48805008,454904,454904,0.009320846745891323,0.009320846745891323,-0.1671810468081363,-0.02362485581114535,-0.1435561909969894,0.045898898001540116
21,25,3,2,48066345,6482766,6437621.333333333,0.13487120770260355,0.13393199198593805,-0.40254006667852726,-0.225265577129126,-0.1772744895494017,-0.2223066531720711
56,43,1,0,39494546.833333336,384525.6666666667,0,0.009736171129886914,0,-0.1941948710990151,-0.16705871764207178,-0.027136153456943403,-0.02719987099802223
15,12,1,1,38358560.666666664,356045,356045,0.009282021895816355,0.009282021895816355,-0.8238488207557824,-0.8288404543292969,0.004991633573515409,0.1831390556946461
91,54,5,0,38316603.833333336,1022872.6666666666,0,0.026695285185395885,0,0.2524374022266412,0.19135280594361656,0.061084596283024345,0.32513225084052255
88,12,1,0,37926622.33333333,71192.33333333333,0,0.0018771071335493827,0,0.06924505081567045,0.20082720224689415,-0.13158215143122298,-1.0145836629160456
81,41,0,0,33523899.166666664,0,0,0,0,-0.291776071705119,-0.3846641781938382,0.09288810648871935,0.13470819463341743
92,35,5,1,31775144.5,3379192,1269554,0.10634702227711348,0.039954310829333914,-0.22329573288721039,-0.11815312807954716,-0.10514260480766312,-0.3178898072352594
86,18,1,1,27798117.333333332,284501.6666666667,284501.6666666667,0.010234566005141452,0.010234566005141452,-0.4366144004021453,0.32868323273217054,-0.7652976331343169,-0.019131670717640232
35,15,2,0,27432098.5,465423.5,0,0.016966383377487508,0,-0.2576408604860727,-0.18494525550710222,-0.07269560497897076,-0.019285476944849545
74,46,5,0,27170813,5032432,0,0.18521462718101223,0,-0.2162297401645869,-0.19709343153579004,-0.019136308628796835,NA
07,44,1,0,23207424.833333332,4622643.333333333,0,0.19918812046279816,0,-0.30247690149501183,-0.21145265737560778,-0.09102424411940402,0.05918882601850612
25,21,0,0,22867346.666666668,0,0,0,0,0.7140805879664235,0.6586669867576874,0.055413601208736,-0.13941487484594042
36,9,0,0,20717214.666666664,0,0,0,0,-0.9851703686469526,-0.7223465495206952,-0.2628238191262571,0.1624533749749393
13,9,0,0,20476530.333333332,0,0,0,0,-0.5892490487962859,-0.2714006609472058,-0.3178483878490815,0.213828928891534
72,48,4,1,20049162.5,603104.3333333334,113598.66666666667,0.030081273137136447,0.00566600558335874,-0.08748007194810452,0.01253510020780932,-0.10001517215591335,0.08688822357336631
59,32,2,0,19909719.333333332,1021516.3333333334,0,0.05130742007111502,0,-0.2895240631915779,-0.35554665884160647,0.06602259565002826,0.11391863239493098
32,41,1,0,19883425,1279768.3333333333,0,0.06436357585945747,0,-0.2285862482683876,-0.1647713657879663,-0.06381488248042085,0.047986181343116004
66,7,0,0,18955255.666666668,0,0,0,0,-1.0986753344924691,-0.7560764221035137,-0.34259891238895435,-0.6873444533336365
89,14,1,0,18359366,182486,0,0.009939667851275475,0,2.5253737307554367,1.214004445201038,1.3113692855543995,0.4140852990019334
57,26,3,0,17665202.666666668,501528.3333333333,0,0.028390748908852972,0,-0.5110252708943338,-0.33926460012077664,-0.17176067077355703,-0.3901274803039166
16,32,3,0,14912005.166666666,2365872.333333333,0,0.1586555467819882,0,-0.14443937214455552,-0.003289009331312382,-0.1411503628132428,0.03466277694629742
19,19,2,1,14161426,1694954,1447103,0.11968808790866117,0.10218624875771691,-0.25134271308878864,-0.13029015480174241,-0.1210525582870458,-0.0030233735248330015
17,9,1,1,13486821.5,596484.3333333334,596484.3333333334,0.04422719862744038,0.04422719862744038,-0.0802232681126718,0.0754822018629511,-0.15570546997562162,0.03018886850260524
54,38,3,0,12812611.166666666,839279,0,0.06550413409746415,0,-0.1859401263996504,-0.06191833884660942,-0.12402178755304072,-0.2319346342114605
09,22,0,0,12526781,0,0,0,0,-0.419800897801947,-0.3552181991424181,-0.06458269865952893,0.030967761544017237
58,22,2,0,12229993.166666666,698764,0,0.05713527313363585,0,-0.1542435166306746,-0.12349896493199457,-0.030744551698680032,-0.27066268370701585
23,8,0,0,11368479.333333334,0,0,0,0,-0.31372483263360196,-0.19482241080086982,-0.11890242183273154,0.07017411156452613
60,30,3,0,11160020.666666666,1188184.6666666667,0,0.10646796293268514,0,-0.07032831051247611,-0.02980990649569817,-0.04051840401677774,-0.10301738234691886
79,5,0,0,10766235,0,0,0,0,-0.0747927161467265,0.5151754130041264,-0.5899681291508521,-0.19084845386375288
93,13,2,0,10635571.333333334,1434182,0,0.13484766873831006,0,-0.10979571672682081,-0.1362719964056514,0.0264762796788306,-0.17629197510668723
12,14,0,0,10562872.166666666,0,0,0,0,-0.29160638075811135,-0.32203172949543746,0.030425348737326604,-0.1832864072711088
97,9,0,0,9587886.666666666,0,0,0,0,0.874907185786082,0.2819448505937531,0.592962335192329,0.3780844884858275
46,21,0,0,8638472.166666666,0,0,0,0,-0.3437754851657977,-0.33194396948728627,-0.011831515678511217,-0.28118498870136643
05,9,2,1,6737039.333333333,4918046.666666666,4793170.333333333,0.7300011805383552,0.7114653924636924,-0.5179144730604084,-0.18360849161842496,-0.334305981441984,-0.055755362687469175
27,5,0,0,5375442,0,0,0,0,0.20887479345899057,0.6930074355413258,-0.48413264208233503,0.1480605164546663
08,11,0,0,5351716.333333333,0,0,0,0,-0.22518423940297844,-0.3667991102408196,0.14161487083784097,0.13139381417154833
75,7,0,0,4859707.166666667,0,0,0,0,0.059067682883938426,-0.1493357663149066,0.20840344919884612,-0.05126881856358995
06,10,1,1,3938570,195946.66666666666,195946.66666666666,0.04975071324533185,0.04975071324533185,-0.430646676339048,0.0024862314372905894,-0.43313290777633834,0.04601555941422144
