year_month,partner_group,s1_num,s2_num,imports,con_val_mo,s1,s2,gap_s1_s2
2025-03,Japan,2664597161.9195304,250094803.6056526,142342481091.34717,13877458078,1.8719620042378957,1.8021658015463875,0.06979620269150821
2025-03,S. Korea,1324943735.9723876,116875479.35905999,124677855245.83546,12348323767,1.06269371843132,0.9464886211633131,0.11620509726800698
2025-03,UK,805567872.7797049,77135447.34585187,59395101582.007576,7112610460,1.3562867161148753,1.0844885682921523,0.27179814782272294
2025-03,ROW,22897581879.40232,2270783934.532854,862882967813.9146,114080798124,2.6536138426063256,1.9905049507671115,0.6631088918392141
2025-04,China,403463763592.07605,25996066683.893303,414612062496.9515,24625309774,97.31114940608913,105.5664554983206,-8.255306092231464
2025-04,Canada,15563561422.010677,1093628432.2105343,382051000576.81696,29520331842,4.073686863406445,3.704661716080632,0.3690251473258135
2025-04,Mexico,26723376990.474968,1932499505.546594,483508154650.16284,41756730566,5.526975446734788,4.627995246160657,0.8989802005741314
2025-04,EU,45154575284.32725,3716650407.3126984,519537662176.06323,52754419459,8.691299701969452,7.045192507902068,1.6461071940673841
2025-04,Japan,18991775085.301937,1699382004.7395053,142041384953.73828,13690571363,13.370592726540508,12.412790961612004,0.9578017649285044
2025-04,S. Korea,14569508996.384508,914547552.3603208,124444829695.47076,9568604222,11.70760491378998,9.557794753989365,2.149810159800616
2025-04,UK,6052725160.326967,429710177.12328863,60210851501.19415,4905454794,10.052548684196775,8.759843789588668,1.2927048946081072
2025-04,ROW,67504990069.634155,6567467494.437848,860746735006.0286,95925360542,7.842607740958943,6.846435037960942,0.9961727029980008
2025-05,China,291852323785.9427,14199923598.806778,414711749319.7709,19364376809,70.37474203821141,73.33013470491375,-2.9553926667023376
2025-05,Canada,15875044446.56327,1115930623.890288,385477289844.99805,30210371783,4.11828267573083,3.6938659077285676,0.4244167680022626
2025-05,Mexico,27132115308.94954,2219493011.999756,483275187108.9098,46370409450,5.614216502871088,4.7864425574955884,0.8277739453754993
2025-05,EU,51741437878.43951,4415992306.649022,516845353865.28656,56559409358,10.01100957791055,7.807705838470545,2.2033037394400043
2025-05,Japan,22636508415.374836,1796563807.2797325,141783674792.01855,11963336319,15.965525261339266,15.017247357883399,0.9482779034558675
2025-05,S. Korea,17493299327.445454,1502424960.1748657,123451656045.68303,11330149125,14.170161736001416,13.2604164658324,0.909745270169017
2025-05,UK,6805784723.9757805,380213453.6645329,58703637940.53683,4753400795,11.593463306089516,7.998766989404118,3.5946963166853987
2025-05,ROW,77298406604.0112,6995356733.739071,854889576596.4437,92852575252,9.041917075624893,7.533831683993486,1.5080853916314068
2025-06,China,173045826100.91922,7610397785.8358,413883352988.90497,17567979660,41.810289022559,43.31970968274562,-1.5094206601866205
2025-06,Canada,21050113281.837364,1293593648.2610312,385975356484.6237,29736629802,5.453745408400431,4.350168989809423,1.1035764185910084
2025-06,Mexico,30250793862.74865,2321298313.427841,482365733350.16876,44868727672,6.271339726528289,5.173532733972375,1.0978069925559142
2025-06,EU,55112371796.8441,4344157845.303923,517055927980.74475,44025004147,10.658880174157193,9.867478560135348,0.7914016140218454
2025-06,Japan,23674916706.956665,1838580691.9766228,141566257157.7316,11499825541,16.723559118030735,15.987900733116197,0.7356583849145384
2025-06,S. Korea,19426574201.692444,1483840832.7931597,123007708316.03589,11002811694,15.792973032048513,13.486014975629553,2.30695805641896
2025-06,UK,6898008761.767228,458048747.75427926,59191027724.09348,5159953600,11.653808063480236,8.876993540296162,2.7768145231840737
2025-06,ROW,81602589002.92358,7745620497.205213,853029651908.4408,94459267847,9.566207788950615,8.199958218764884,1.3662495701857313
2025-07,China,173651605247.22046,10928872231.723743,414579373289.6013,25117812474,41.88621442242314,43.51044599539255,-1.6242315729694141
