year_month,partner_group,diversion_pp,others_pp,residual_pp
2025-06,UK,0.054463878967882476,0.006031048285429402,0.012674479490253762
2025-06,ROW,-0.2565037830871538,0.1709550577925276,0.26842792285234046
2025-07,China,2.0522477695406165,0.008983619384852424,0.2656106652316351
2025-07,Canada,0.234412254694794,0.0016688391613872906,0.15758515718243954
2025-07,Mexico,0.21201843107989843,0.002081534486980486,0.07065599428601373
2025-07,EU,0.2354243443678572,0.02481447337311702,0.15630094124941457
2025-07,Japan,0.15258086305139612,0.010227382661958804,0.012602666114420985
2025-07,S. Korea,0.12386605422580832,0.058803325382442796,-0.0024224541576705746
2025-07,UK,0.025703908677540712,0.025298653740434947,0.0013521457740295585
2025-07,ROW,-0.07103499045481343,0.19052211560789786,0.17914010230509095
2025-08,China,2.080133181268144,0.008134401973206636,0.30807941816800233
2025-08,Canada,0.2524861038532177,0.004352089149490437,0.1236663895086432
2025-08,Mexico,0.13625902284671285,0.01469518141961759,0.12254937567418686
2025-08,EU,0.3569618440093747,0.04442249376182534,0.3152655236595087
2025-08,Japan,0.11629768412478309,0.011304239282876785,0.032589817487833475
2025-08,S. Korea,0.11273655118648045,0.06705483401861699,0.0394568676960038
2025-08,UK,0.014426867310679837,0.027843751124728863,0.014700257306544468
2025-08,ROW,-0.20949395484850786,0.2788516760881691,1.2413044234218382
2025-09,China,2.605358631575229,0.006364601986123018,0.1728947994802234
2025-09,Canada,0.274746203712238,0.002056359239605252,0.14100280758428074
2025-09,Mexico,0.20269307864656533,0.019473683215896005,0.1347035178586043
2025-09,EU,0.46420260243683714,0.07163506939866901,0.2465593885501638
2025-09,Japan,0.2281091641808883,0.01840922917632844,-0.043000403231465506
2025-09,S. Korea,0.17819416708304409,0.054036793791760865,-0.021508621430275654
2025-09,UK,0.03355357658960891,0.024304105046932614,0.01874417681218705
2025-09,ROW,0.08955498191081601,0.2325039727050134,0.7607517662157366
2025-10,China,2.5208640872522725,0.006228771585817861,0.18589732902074899
2025-10,Canada,0.29775606109212915,0.0025624954943185437,0.13774304078529945
2025-10,Mexico,0.10586586699003205,0.005596464864354619,0.20014952362357652
2025-10,EU,0.25527353551286397,0.0430530882447725,0.021465814372392648
2025-10,Japan,0.09658497124122997,0.02616852234107679,-0.055676550719035316
2025-10,S. Korea,0.2517200817305432,0.05138490242206161,-0.0250133548422464
2025-10,UK,0.028006434242119994,0.02369586097230151,0.02573369548961201
2025-10,ROW,0.4262360859847487,0.1684047547373155,0.2668330749015344
2025-11,China,2.26857037540721,0.005554475048209225,0.12723639145122634
2025-11,Canada,0.33152151461191504,0.0017773157543288808,0.18126646945061203
2025-11,Mexico,0.22494919396258362,8.344953842639251e-4,0.2837410365907406
2025-11,EU,0.16566740809046787,0.04369966086351512,0.08352232738603331
2025-11,Japan,0.06746884779554436,0.022826467940395497,-0.015824233348200212
2025-11,S. Korea,0.18697663674105466,0.05433676111134341,0.046905889358418856
